ProductGroupID,ProductGroupName,ProductGroupNameENG,ProductGroupStatus
A001001,เครื่องฉีดน้ำแรงดันสูง,"High Pressure Washer",Active
A001002,อุปกรณ์เสริมเครื่องฉีดน้ำแรงดัน,"High-Pressure Washer Accessories",Active
A002001,เครื่องดูดฝุ่น,"Vacuum Cleaner",Active
A002002,เครื่องเป่าลม,Blowers,Active
A002003,เครื่องเป่าลม-ดูดฝุ่น,"Blower - Vacuum",Active
A002004,เครื่องเป่าลมร้อน,"Hot Air Blower",Active
A003001,เครื่องเจาะอลูมิเนียมทำรูกุญแจ,"Aluminum Punching Machine",Active
A003002,เครื่องบากเฟรม,"Frame Machine",Active
A003003,เครื่องปั๊มรูบานเลื่อน,"Pneum Pump",Active
A003004,โต๊ะเจาะอลูมิเนียม,"Aluminum Drilling Table",Active
A003005,โต๊ะตัดกรอบมุ้งลวดอลูมิเนียม,"Aluminum Frame Window Frame",Active
A003006,โต๊ะตัดอลูมิเนียม,"Aluminum Cutting Table",Active
A004001,เครื่องจี้ปูน,"Tilting Machine",Active
A004002,เครื่องเซาะร่องปูน,"Grooving Machine",Active
A004003,เครื่องตัดหิน,"Stone Cutting Machine",Active
A004004,เครื่องยิงตะปูไฟฟ้า,"Electric Nail Gun",Active
A004005,สว่านแท่นเจาะคอย์ลิ่ง,"Drilling Rig",Active
A004006,สายจี้ปูน,Pendant,Active
A004007,เครื่องดูด-สั่นกระเบื้อง,"TILE VIBRATOR",Active
A004008,อุปกรณ์เสริมเครื่องมืองานก่อสร้าง,"Construction Tool Accessories",Active
A005001,"เครื่องเจียร / เครื่องขัด","Grinding / Polishing Machine",Active
A006001,"เครื่องขัดไม้ 20 โวลต์","20V Cordless Sander",Active
A006002,เครื่องเซาะร่องไม้,"Grooving Machine",Active
A006003,เครื่องเลื่อยไม้,"Sawing Machine",Active
A006004,เครื่องเลื่อยองศา,"Sawing Machine",Active
A006005,เครื่องไสไม้,Planer,Active
A006006,มีดกรีดยางไฟฟ้า,"Electric Rubber Tapping Knife",Active
A007001,เครื่องเชื่อม,"Welding Equipment",Active
A007002,เครื่องดัดเหล็ก,"Bending Machine",Active
A007003,เครื่องตัดเหล็ก,"Steel Cutter",Active
A007004,เครื่องลบมุมเหล็ก,"Steel Angle Grinder",Active
A007005,แท่นตัดเหล็ก,"Steel Cutter",Active
A007006,สว่านแท่นแม่เหล็ก,"Magnetic Drill",Active
A008001,เครื่องผสมสี,Mixer,Active
A008002,เครื่องพ่นสี,Sprayer,Active
A009001,ปั้มน้ำหอยโข่ง,"Water Pump",Active
A010001,สว่านกระแทก,"Impact Drill",Active
A010002,สว่านไฟฟ้า,"Electric Drill",Active
A011001,สว่านโรตารี่-สกัด,"Rotary Hammer",Active
A011002,สว่านสกัด,"Drill Bit",Active
A011003,หัวจับดอกสว่านโรตารี่,"Rotary Hammer",Active
A012001,"สว่านกระแทกไร้สาย 16 โวลต์","16V Cordless Impact Drill",Active
A012002,"อุปกรณ์ชาร์จ 20 โวลต์","20V Charger",Active
