pSubCatID,pCatID,pSubCatName,pSubCatNameENG,pSubCatStatus
A001,A,เครื่องฉีดน้ำแรงดันสูงและอุปกรณ์เสริม,"High Pressure Washers And Accessories",Active
A002,A,เครื่องเป่าลม-ดูดฝุ่น,"Blower - Vacuum",Active
A003,A,เครื่องไฟฟ้าแบบตั้งโต๊ะงานอลูมิเนียม,"Electric Table Saw",Active
A004,A,เครื่องมือไฟฟ้างานก่อสร้าง,"Power Tools For Construction",Active
A005,A,"เครื่องมือไฟฟ้างานเจียร / ขัดโลหะ","Grinding / Polishing Power Tools",Active
A006,A,เครื่องมือไฟฟ้างานไม้,"Wood Working Power Tools",Active
A007,A,เครื่องมือไฟฟ้างานโลหะ,"Metal Working Power Tools",Active
A008,A,เครื่องมือไฟฟ้างานสี,"Painting Power Tools",Active
A009,A,ปั้มน้ำ,"Water Pump",Active
A010,A,"สว่านกระแทก / สว่านไฟฟ้า / ไขควงไฟฟ้า","Impact Drill / Electric Drill / Electric Screwdriver",Active
A011,A,สว่านโรตารี่และสว่านเจาะทำลาย,"Rotary Hammers And Breakers",Active
A012,A,"สว่านไร้สาย / ไขควงไร้สาย","Cordless Drill / Cordless Screwdriver",Active
A013,A,เครื่องตัดกระเบื้อง/ตัดหินอ่อนและอุปกรณ์เสริม,"Marble cutter/Tile cutter and accessories",Active
A014,A,"เครื่องระบายอากาศ / ทำความเย็น","Air Flow / Cooling machine",Active
A015,A,เครื่องส่องสว่าง,Lighting,Active
A016,A,เครื่องมือสร้างพลังงานไฟฟ้าและเครื่องยนต์เกษตร,"Electric power & Agricultural Engine systems",Active
A017,A,เครื่องมือไฟฟ้างานสวน,"Power Tools for Garden",Active
A018,A,เครื่องมือไฟฟ้างานยานยนตร์,"Power Tools for Automotive",Active
A019,A,บล็อกกระแทก,"Impact Wrench",Active
A020,A,แบตเตอรี่และอุปกรณ์ชาร์จ,"BATTERY AND CHARGER",Active
A021,A,"อุปกรณ์เสริมเครื่องไฟฟ้า / ไร้สาย","Power Tool Accessories / Cordless Tool Accessories",Active
A022,A,เครื่องมือไฟฟ้างานก่อสร้าง,"Construction Power Tools",Active
A023,A,เครื่องมือไร้สาย-งานก่อสร้าง,"Cordless Construction Tools",Active
A024,A,เครื่องมือไร้สายงานบ้านและสวน,"Cordless Home & Garden Tools",Active
